Month,R,Python
2004-01,12,30
2004-02,11,30
2004-03,12,30
2004-04,13,29
2004-05,13,30
2004-06,12,30
2004-07,13,30
2004-08,11,29
2004-09,12,28
2004-10,13,30
2004-11,13,26
2004-12,13,28
2005-01,13,29
2005-02,13,29
2005-03,15,29
2005-04,13,27
2005-05,15,29
2005-06,15,30
2005-07,13,27
2005-08,14,30
2005-09,14,28
2005-10,16,31
2005-11,16,27
2005-12,15,28
2006-01,15,27
2006-02,17,29
2006-03,16,28
2006-04,16,27
2006-05,16,27
2006-06,17,27
2006-07,17,26
2006-08,16,27
2006-09,18,28
2006-10,19,28
2006-11,19,27
2006-12,19,26
2007-01,18,27
2007-02,19,27
2007-03,19,27
2007-04,17,26
2007-05,19,28
2007-06,18,26
2007-07,18,28
2007-08,17,28
2007-09,18,26
2007-10,19,27
2007-11,18,27
2007-12,18,25
2008-01,16,23
2008-02,18,24
2008-03,17,25
2008-04,17,27
2008-05,17,26
2008-06,17,26
2008-07,16,26
2008-08,16,25
2008-09,16,25
2008-10,17,27
2008-11,17,25
2008-12,16,25
2009-01,16,25
2009-02,16,27
2009-03,16,28
2009-04,15,28
2009-05,14,25
2009-06,14,26
2009-07,14,26
2009-08,13,25
2009-09,14,26
2009-10,15,26
2009-11,15,25
2009-12,14,23
2010-01,14,24
2010-02,15,25
2010-03,15,27
2010-04,15,26
2010-05,15,26
2010-06,14,26
2010-07,14,24
2010-08,15,23
2010-09,16,24
2010-10,17,26
2010-11,17,26
2010-12,16,24
2011-01,18,24
2011-02,18,26
2011-03,18,26
2011-04,18,25
2011-05,18,26
2011-06,18,25
2011-07,18,25
2011-08,18,25
2011-09,20,25
2011-10,21,26
2011-11,21,26
2011-12,20,24
2012-01,21,23
2012-02,22,27
2012-03,22,27
2012-04,21,27
2012-05,22,26
2012-06,22,26
2012-07,21,26
2012-08,21,25
2012-09,22,27
2012-10,24,28
2012-11,21,27
2012-12,21,24
2013-01,22,27
2013-02,23,30
2013-03,22,29
2013-04,22,30
2013-05,22,29
2013-06,22,28
2013-07,21,29
2013-08,21,29
2013-09,21,31
2013-10,23,33
2013-11,23,34
2013-12,22,29
2014-01,22,30
2014-02,23,32
2014-03,22,33
2014-04,24,33
2014-05,23,32
2014-06,22,31
2014-07,22,32
2014-08,22,30
2014-09,22,33
2014-10,23,36
2014-11,23,33
2014-12,22,32
2015-01,22,33
2015-02,24,36
2015-03,24,37
2015-04,23,37
2015-05,23,36
2015-06,22,38
2015-07,22,36
2015-08,21,34
2015-09,23,40
2015-10,23,41
2015-11,24,41
2015-12,22,38
2016-01,21,42
2016-02,24,47
2016-03,24,49
2016-04,23,49
2016-05,23,47
2016-06,22,48
2016-07,21,44
2016-08,20,45
2016-09,22,48
2016-10,24,52
2016-11,24,57
2016-12,22,51
2017-01,23,53
2017-02,25,62
2017-03,26,66
2017-04,26,61
2017-05,24,60
2017-06,23,60
2017-07,22,57
2017-08,21,59
2017-09,22,65
2017-10,24,67
2017-11,25,70
2017-12,23,65
2018-01,23,66
2018-02,25,73
2018-03,25,74
2018-04,26,73
2018-05,26,71
2018-06,23,70
2018-07,23,70
2018-08,23,71
2018-09,23,74
2018-10,24,80
2018-11,24,80
2018-12,22,68
2019-01,22,75
2019-02,23,81
2019-03,24,82
2019-04,25,84
2019-05,22,81
2019-06,22,84
2019-07,21,86
2019-08,20,82
2019-09,22,93
2019-10,22,96
2019-11,22,93
2019-12,19,81
2020-01,20,87
2020-02,21,100
2020-03,20,89
2020-04,21,95
2020-05,21,91
2020-06,20,93
2020-07,20,90
2020-08,19,87
2020-09,20,92
2020-10,20,80
2020-11,19,73
2020-12,18,75
